,title,link,summary
0,Coronavirus: Spread of virus in UK 'likely' says Boris Johnson,https://www.bbc.co.uk/news/uk-51708550,"A plan to tackle the virus has been agreed and people should carry on as usual, the PM says."
1,Coronavirus: South Korea church leader apologises for virus spread,https://www.bbc.co.uk/news/world-asia-51701039,"Lee Man-hee got down on his knees and said the disease's spread was ""not intentional""."
2,Criminals on CCTV: Scammers caught red-handed,https://www.bbc.co.uk/news/stories-51660982,The man who hacked into a criminal call centre to expose scammers at work.
3,Coronavirus: Bank of England vows to ease economic impact,https://www.bbc.co.uk/news/business-51700935,The bank has promised to help stabilise financial markets amid growing concern about coronavirus.
4,Worcester and Shropshire flooding 'not over yet',https://www.bbc.co.uk/news/uk-england-51703133,"The Environment Agency warns people not to get ""complacent"" as warnings remain on the Severn."
5,Pete Buttigieg drops out of Democratic race for White House,https://www.bbc.co.uk/news/world-us-canada-51700771,The 38-year-old became the first openly gay major-party presidential candidate last year.
6,Met Police officers investigated over Streatham attack crash,https://www.bbc.co.uk/news/uk-england-london-51705285,"The inquiry into two Met Police officers' response to the knife attack is branded a ""complete joke""."
7,Grenfell Tower Inquiry disrupted by protesters shouting 'disgrace',https://www.bbc.co.uk/news/uk-51707499,Protesters shout 'disgrace' after a move to guarantee some witnesses would not be prosecuted.
8,M&S: Retailer extends trial of food refill scheme,https://www.bbc.co.uk/news/business-51706219,"Shoppers can fill their own containers in two stores, as the firm tries to cut down on plastic waste."
9,Climate change: Greenpeace stops Barclays from opening branches,https://www.bbc.co.uk/news/business-51702865,The group stops the bank from opening branches in a nationwide protest against the funding of fossil fuels.
10,Post-Brexit US trade: UK talks plan insists NHS 'off the table',https://www.bbc.co.uk/news/uk-politics-51706802,The UK sets out its strategy for trade talks with US - as separate talks with the EU get under way.
11,Joe Lycett: Comedian changes his name to Hugo Boss,https://www.bbc.co.uk/news/entertainment-arts-51703859,Lycett is taking a stand against the fashion firm over its treatment of similarly-named companies.
12,Cheerleading in the UK: We're not on the sidelines any more,https://www.bbc.co.uk/news/uk-51626775,Netflix's US docu-series Cheer has been a hit. How does cheerleading compare at British universities?
13,Vatican to open archives of Holocaust-era Pope Pius XII,https://www.bbc.co.uk/news/world-europe-51703464,Scholars have waited decades to see papers from the controversial reign of Pius XII.
14,Judge Judy to end in 2021 after 25 years,https://www.bbc.co.uk/news/entertainment-arts-51703850,"The daytime TV star reveals she will launch a new show, Judy Justice, on an unnamed network in 2022."
15,Training troops for the 'world's most dangerous' peacekeeping mission,https://www.bbc.co.uk/news/world-51680382,"The British Army is preparing to send troops into Mali, to join a UN peacekeeping mission."
16,Australian night sky on show in 'starlapse' video,https://www.bbc.co.uk/news/world-australia-51670383,One man’s love for Queensland’s night skies results in beautiful timelapse images.
17,The Papers: 'Shut down' cities warning as UK virus cases jump,https://www.bbc.co.uk/news/blogs-the-papers-51700575,The ongoing coronavirus outbreak features heavily on many front pages for another day.
18,US election 2020: Why is the Latino vote so important?,https://www.bbc.co.uk/news/world-us-canada-51678644,"In the 2020 election, Latinos will be the largest racial or ethnic minority voting. What are their political priorities?"
19,How powerful is Dominic Cummings?,https://www.bbc.co.uk/news/uk-politics-51676581,"Boris Johnson’s chief adviser's been hitting the headlines, but how much influence does he actually have?"
20,The kids making up to $1m a year on YouTube,https://www.bbc.co.uk/news/business-51619504,Child influencers on the platform test their power at New York's annual Toy Fair.
21,Two thirds of UK homes 'fail on energy efficiency targets',https://www.bbc.co.uk/news/uk-50573338,Evidence suggests improving housing is one of the most cost-effective ways to cut carbon emissions.
22,'I was abused - now I want to give hope to others',https://www.bbc.co.uk/news/uk-england-essex-49755880,Rhys Dickinson is using his own experience of child sex abuse to help give young survivors a voice.
23,‘My toy walrus waited 25 years in the Arctic’,https://www.bbc.co.uk/news/stories-51661161,Julia spent 25 years dreaming of her first home. Eventually she returned - and found a long-lost toy.
24,The friends helping people divorce without lawyers,https://www.bbc.co.uk/news/business-51546101,Kate Daly and Pip Wilson are the founders of solicitor-free divorce service Amicable.
25,Flooding: Storm Dennis is 'a taste of things to come' for Wales,https://www.bbc.co.uk/news/uk-wales-51631480,Experts paint a bleak picture for areas of Wales clearing up after recent storm damage.
26,Letter from Africa: Ethiopia's lost Armenian community,https://www.bbc.co.uk/news/world-africa-51672965,A church and a social club remain as echoes of a once thriving group which played an important role in the country.
27,Joshua to fight Pulev at the Tottenham Hotspur Stadium in June,https://www.bbc.co.uk/sport/boxing/51705419,British world champion Anthony Joshua will fight Kubrat Pulev at the Tottenham Hotspur Stadium on Saturday 20 June.
28,GB will not dominate Tokyo Olympics after Worlds 'shock' - Hoy,https://www.bbc.co.uk/sport/cycling/51698759,"Britain will not dominate the Tokyo Olympics as they have in previous Games after the ""shock"" of the World Championships, says Sir Chris Hoy."
29,Australia reach World Cup semis and knock out NZ,https://www.bbc.co.uk/sport/cricket/51701743,Defending champions Australia avoid an early exit at the T20 World Cup with a four-run victory over New Zealand putting them into the semi-finals.
30,Six Nations organisers will 'not rule anything out' after paywall reports,https://www.bbc.co.uk/sport/rugby-union/51704956,"Six Nations organisers say they ""would not rule anything out"" after reports it would no longer be on free-to-air television from 2022."
31,From Mickey Mouse to Arsenal FA Cup shock? - Portsmouth's Disney-inspired revival,https://www.bbc.co.uk/sport/football/51413840,"Having endured a troubled few years, Portsmouth have much to look forward to under former Walt Disney chief executive Michael Eisner."
32,England prop Vunipola available for Wales match,https://www.bbc.co.uk/sport/rugby-union/51704949,England prop Mako Vunipola is available for Saturday's Six Nations match against Wales after missing the Ireland game for personal reasons.
33,All you need to know on the coronavirus,https://www.bbc.co.uk/news/health-51048366,"The virus is spreading around the world, but what is it, how can we be protected and can it be stopped?"
34,What are the chances of dying from coronavirus?,https://www.bbc.co.uk/news/health-51674743,The current best guess of a 1% death rate does not apply to everyone.
35,Coronavirus: Where are we with a vaccine?,https://www.bbc.co.uk/news/health-51665497,We answer some of the big questions about vaccines and how long one for coronavirus could take.
36,How to self-isolate,https://www.bbc.co.uk/news/health-51652874,Five ways to successfully self-isolate to prevent the spread of the virus.
37,This is how to wash your hands,https://www.bbc.co.uk/news/health-51637561,A virology expert demonstrates how viruses can spread using UV light.
38,A visual guide to the outbreak,https://www.bbc.co.uk/news/world-51235105,Key maps and charts explaining how the respiratory virus has spread and how it is being dealt with.
39,The boss who put everyone on 70K,https://www.bbc.co.uk/news/stories-51332811,"A tech boss introduced a $70,000 minimum salary for all his staff - by cutting his own wages. Five years, on he has no regrets."
40,AudioTelligence raises $8.5M Series A to bring its ‘autofocus for sound’ to voice assistants,http://feedproxy.google.com/~r/Techcrunch/~3/MmiVATKfZZg/,"AudioTelligence, a startup that spun out of University of Cambridge-funded CEDAR Audio, has raised $8.5 million in Series A funding for its &#8220;autofocus for sound&#8221;. Leading the round is Octopus Ventures, with participation from existing investors Cambridge Innovation Capital, Cambridge Enterprise, and CEDAR Audio. Founded in 2017 and based in Cambridge, U.K., the company has [&#8230;]"
41,India’s Spinny raises $43.7M to expand its online platform for selling used cars,http://feedproxy.google.com/~r/Techcrunch/~3/bF19xQmnjos/,"Spinny, an online platform for selling used cars, has secured $43.7 million from a cohort of influential investors in a new financing round as it looks to expand to more Indian cities. The Series B financing round for the Gurgaon-based startup was led by the Fundamentum Partnership, the growth-capital fund backed by tech veterans Nandan [&#8230;]"
42,Rajeev Suri to step down as Nokia CEO; Pekka Lundmark to take over,http://feedproxy.google.com/~r/Techcrunch/~3/y8LEX4-yLtw/,"Rajeev Suri, the chief executive of Nokia, is stepping down from his leadership role after overseeing the Finnish networking giant for more than half a decade. Pekka Lundmark, the outgoing President and CEO of energy firm Fortum, has been elected as the President and Chief Executive Officer of Nokia, the Finnish company announced on Monday. [&#8230;]"
43,Thought Machine nabs $83M for a cloud-based platform that powers banking services,http://feedproxy.google.com/~r/Techcrunch/~3/HWS_WRo4d4I/,"The world of consumer banking has seen a massive shift in the last ten years. Gone are the days where you could open an account, take out a loan, or discuss changing the terms of your banking only by visiting a physical branch. Now, you can do all this and more with a few quick [&#8230;]"
44,"Visser, a parts manufacturer for Tesla and SpaceX, confirms data breach",http://feedproxy.google.com/~r/Techcrunch/~3/DYQJJFuPGYc/,"A precision parts maker for space and defense contractors has confirmed a &#8220;cybersecurity incident,&#8221; which TechCrunch has learned was likely caused by ransomware. Visser Precision, a Denver, Colorado-based manufacturer, makes custom parts for a number of industries, including automotive and aeronautics. In a brief statement, the company confirmed it was &#8220;the recent target of a [&#8230;]"
45,How to work during a pandemic,http://feedproxy.google.com/~r/Techcrunch/~3/OHtH_q5Qrfw/,"The world is bracing for the seemingly inevitable proliferation of SARS-COV-12, also known as COVID-19 and coronavirus, which has already paralyzed cities and isolated millions. In the U.S., especially the nonstop work culture in startups, we tend to think we&#8217;re immune to such things and carry on business as usual. We are not only deluding [&#8230;]"
46,China Roundup: Apple closes a 4-year-old App Store loophole,http://feedproxy.google.com/~r/Techcrunch/~3/UqbEsh5fJ5w/,"This week, Apple made some major moves that are telling of its increasingly compliant behavior in China where it has seen escalating competition, but investors are showing dissatisfaction with how it is approaching hot-button issues in the country."
47,Making money from games: The future of virtual economies,http://feedproxy.google.com/~r/Techcrunch/~3/le5_e0fmrGI/,"Fictional portrayals of virtual worlds such as &#8220;Ready Player One&#8221; and &#8220;The Matrix&#8221; typically portray the physical and virtual worlds as distinct realms siloed from each other. Characters escape a dystopian, impoverished physical realm and enter a separate, utopian virtual realm in which they are wealthy and important. Our non-fictional future won’t have that dichotomy. [&#8230;]"
48,May we live in interesting times,http://feedproxy.google.com/~r/Techcrunch/~3/ffPwg66GKow/,"It&#8217;s never a good sign when, in order to discuss the near future of technology, you first have to talk about epidemiology&#8211;but I&#8217;m afraid that&#8217;s where we&#8217;re at. A week ago I wrote &#8220;A pandemic is coming.&#8221; I am sorry to report, in case you hadn&#8217;t heard, events since have not exactly proved me wrong. [&#8230;]"
49,Why you can’t overlook the small details in the pursuit of innovation,http://feedproxy.google.com/~r/Techcrunch/~3/0KTKKvToC2s/,"This week, we read a very short story, The Great Silence, as we start to head toward the end of Ted Chiang’s Exhalation collection. This story asks questions about how we connect with nature, and also how to think about innovation and where new ideas come from. We will finish the remaining two stories in [&#8230;]"
50,FDA allows new diagnostic technologies to test for coronavirus before receiving emergency approvals,http://feedproxy.google.com/~r/Techcrunch/~3/bbf-5lRLV_w/,"The U.S. Food and Drug Administration said today that it would allow new diagnostics technologies to be used to test for the novel coronavirus, COVID-19, at elite academic hospitals and healthcare facilities around the country. The agency&#8217;s new initiative comes as critics have assailed various U.S. government agencies for being woefully underprepared to effectively address [&#8230;]"
51,Coronavirus grifts crop up online for political gain and profit,http://feedproxy.google.com/~r/Techcrunch/~3/GOL3KBJAuPw/,"These days capitalism and democracy seem to mean that it&#8217;s never too early to take advantage of the misery of others, and the outbreak of the novel coronavirus, COVID-19, is the latest proof point. On Saturday the Washington Post reported that an agency within the State Department had compiled a report of 2 million tweets, [&#8230;]"
52,Startups Weekly: Why some fintech companies aren’t blinking at customer acquisition costs,http://feedproxy.google.com/~r/Techcrunch/~3/f4JSLXFdzV8/,"Distribution channels are getting saturated across the internet and beyond, and in many tech sectors the cost of acquiring new customers is crimping profitability. But so far, so good in the ""great credit card craze,"" as Alex digs into this week for Extra Crunch. It turns out that the remaining revenue possibilities combined with the current revenues from interchange fees mean costs are staying relatively flat — or so say a few well-placed execs."
53,Multiverse virtual worlds will be healthier for society than our current social networks,http://feedproxy.google.com/~r/Techcrunch/~3/MEEU3R8IDCQ/,The basis of the classic James Bond film &#8220;Tomorrow Never Dies&#8221; is an evil media mogul who instigates war between the U.K. and China because it will be great for TV ratings. There’s been a wake-up call recently that our most popular social networks have been indirectly designed to divide populations into enemy camps and [&#8230;]
54,"This Week in Apps: Coronavirus impacts app stores, Facebook sues mobile SDK maker, Apple kicks out a cloud gaming app",http://feedproxy.google.com/~r/Techcrunch/~3/ZnufaSFx3Kg/,"This week, we'll look at the coronavirus outbreak's impact. We're also talking about Facebook's lawsuit over a data-grabbing SDK, Tinder's new video series, and more."
55,GDC 2020 has been canceled,http://feedproxy.google.com/~r/Techcrunch/~3/kniArYrp230/,"Well, after what I&#8217;m sure was a hectic few days for the folks planning the Game Developers Conference in San Francisco, the team announced today that they have officially decided to cancel the event happening this March, saying in a blog post that they hoped they would be able to reschedule an event for &#8220;later [&#8230;]"
56,Lyft ramps up self-driving program,http://feedproxy.google.com/~r/Techcrunch/~3/IdlrBRc2gs8/,"A year ago, Lyft submitted a report to the California Department of Motor Vehicles that summed up its 2018 autonomous vehicle testing activity in a single, short paragraph. &#8220;Lyft Inc. did not operate any vehicles in autonomous mode on California public roads during the reporting period,&#8221; the letter read. &#8220;As such, Lyft Inc. has no [&#8230;]"
57,Notivize makes it easier for non-technical teams to optimize app notifications,http://feedproxy.google.com/~r/Techcrunch/~3/FO0tT4ktH2Q/,"A new startup called Notivize aims to give product teams direct access to one of their most important tools for increasing user engagement — notifications. The company has been testing the product with select customers since last year and says it has already sent hundreds of thousands of notifications. And this week, it announced that [&#8230;]"
58,Pioneer founder Daniel Gross on bringing remote teams together,http://feedproxy.google.com/~r/Techcrunch/~3/7PQKWTzIBw8/,"There are plenty of accelerators aiming to sway young startups to join their ranks rather than apply to Y Combinator, but Pioneer&#8216;s sell is a bit different. First off, they are fully remote; founders selected to participate in the program chat with advisors via video chat. Second, Pioneer is largely looking at companies that aren&#8217;t [&#8230;]"
59,SpaceX wins the $117 million launch contract to explore Psyche’s heavy metal asteroid,http://feedproxy.google.com/~r/Techcrunch/~3/nMvnI7qHHv4/,"SpaceX has won the launch contract for NASA&#8217;s 2022 mission to explore the mineral-rich asteroid known as Psyche, the space agency announced today, including launch services and other mission-related costs valued at $117 million — remarkably low for a mission of this scale. The Psyche mission will use a Falcon Heavy rocket, which will launch [&#8230;]"
